x-axis,FFT
Hertz,decibel
+980.989E+00,-114.041164E+00
+982.890E+00,-117.239285E+00
+984.791E+00,-118.370785E+00
+986.692E+00,-121.337593E+00
+988.593E+00,-125.856453E+00
+990.494E+00,-119.871817E+00
+992.395E+00,-117.265898E+00
+994.297E+00,-123.872805E+00
+996.198E+00,-131.798690E+00
+998.099E+00,-117.135726E+00
